Date,value,SMAP_method 1,SMAP_method 2,max,25.127
1/1/2021,24.62877405,0.960132355,0.970018671,min,12.63
1/2/2021,24.62614959,0.959922349,0.969915305,max,25.39
1/3/2021,24.629,0.960150436,0.97002757,min,0
1/4/2021,24.43545855,0.944663403,0.962404827,,
1/5/2021,24.24739196,0.929614464,0.954997714,,
1/6/2021,24.06,0.914619509,0.947617172,,
1/7/2021,23.848408,0.897688086,0.939283497,,
1/8/2021,23.63749064,0.880810646,0.930976394,,
1/9/2021,23.423,0.863647275,0.922528555,,
1/10/2021,23.33668828,0.85674068,0.919129117,,
1/11/2021,23.24680329,0.849548155,0.915588944,,
1/12/2021,23.16,0.842602225,0.912170146,,
1/13/2021,22.96265128,0.826810537,0.904397451,,
1/14/2021,22.76838427,0.811265445,0.896746131,,
1/15/2021,22.57,0.795390894,0.888932651,,
1/16/2021,22.51930812,0.79133457,0.886936121,,
1/17/2021,22.46449899,0.786948787,0.884777432,,
1/18/2021,22.386,0.78066736,0.881685703,,
1/19/2021,23.15729296,0.842385609,0.912063527,,
1/20/2021,23.90489605,0.902208214,0.941508312,,
1/21/2021,24.685,0.964631512,0.972233163,,
1/22/2021,24.299248,0.933763943,0.957040095,,
1/23/2021,23.94599685,0.905497067,0.943127091,,
1/24/2021,23.589,0.876930463,0.929066562,,
1/25/2021,23.36636727,0.85911557,0.920298041,,
1/26/2021,23.13998885,0.841000948,0.911381995,,
1/27/2021,22.91,0.822597423,0.90232375,,
1/28/2021,22.80952247,0.814557292,0.898366383,,
1/29/2021,22.70543453,0.806228257,0.894266819,,
1/30/2021,22.604,0.798111547,0.890271761,,
1/31/2021,22.40738344,0.782378446,0.882527902,,
2/1/2021,22.21342029,0.766857669,0.87488855,,
2/2/2021,22.006,0.750260062,0.866719181,,
2/3/2021,22.28130811,0.772289998,0.877562352,,
2/4/2021,22.54315908,0.793243104,0.887875505,,
2/5/2021,22.822,0.815555733,0.898857818,,
2/6/2021,22.49138494,0.789100179,0.885836351,,
2/7/2021,22.17775983,0.764004148,0.873484042,,
2/8/2021,21.862,0.738737297,0.861047657,,
2/9/2021,21.62281617,0.719597997,0.851627262,,
2/10/2021,21.38149762,0.700287878,0.842122789,,
2/11/2021,21.136,0.680643354,0.832453722,,
2/12/2021,21.04041182,0.672994465,0.828688926,,
2/13/2021,20.94064458,0.665011169,0.824759534,,
2/14/2021,20.812,0.654717132,0.819692792,,
2/15/2021,21.71923056,0.727313,0.855424599,,
2/16/2021,22.59758377,0.797598125,0.890019054,,
2/17/2021,23.499,0.869728735,0.925521859,,
2/18/2021,23.57311023,0.875658977,0.928440734,,
2/19/2021,23.67028348,0.883434702,0.932267959,,
2/20/2021,23.766,0.891093863,0.93603781,,
2/21/2021,23.91397137,0.902934414,0.941865749,,
2/22/2021,24.06048602,0.914658399,0.947636314,,
2/23/2021,24.218,0.927262543,0.953840095,,
2/24/2021,23.98095079,0.908294054,0.944503773,,
2/25/2021,23.75490092,0.890205723,0.935600666,,
2/26/2021,23.518,0.8712491,0.926270185,,
2/27/2021,23.67034294,0.883439461,0.932270301,,
2/28/2021,23.81183484,0.89476153,0.937843042,,
3/1/2021,23.958,0.90645755,0.943599842,,
3/2/2021,23.93652787,0.904739367,0.94275415,,
3/3/2021,23.91972901,0.903395136,0.942092517,,
3/4/2021,23.905,0.902216532,0.941512406,,
3/5/2021,23.81602243,0.895096617,0.938007973,,
3/6/2021,23.7291147,0.88814233,0.934585061,,
3/7/2021,23.638,0.880851404,0.930996455,,
3/8/2021,23.69779588,0.885636223,0.933351551,,
3/9/2021,23.7533848,0.890084404,0.935540953,,
3/10/2021,23.802,0.893974554,0.937455691,,
3/11/2021,24.10077294,0.917882127,0.949223038,,
3/12/2021,24.39257217,0.941231669,0.960715722,,
3/13/2021,24.71,0.966631992,0.973217802,,
3/14/2021,24.1080904,0.918467665,0.949511241,,
3/15/2021,23.5318094,0.872354117,0.926814076,,
3/16/2021,22.949,0.825718172,0.903859787,,
3/17/2021,22.60037449,0.797821436,0.890128968,,
3/18/2021,22.24522058,0.769402303,0.876141023,,
3/19/2021,21.881,0.740257662,0.861795983,,
3/20/2021,21.84201478,0.737138095,0.860260527,,
3/21/2021,21.79396289,0.733293022,0.858367975,,
3/22/2021,21.751,0.729855165,0.856675857,,
3/23/2021,21.52548695,0.71180979,0.847793893,,
3/24/2021,21.30506289,0.694171633,0.839112363,,
3/25/2021,21.066,0.67504201,0.829696731,,
3/26/2021,21.49554104,0.709413543,0.846614456,,
3/27/2021,21.90644325,0.74229361,0.86279808,,
3/28/2021,22.341,0.777066496,0.879913352,,
3/29/2021,21.92703161,0.743941075,0.863608965,,
3/30/2021,21.53671777,0.712708472,0.848236226,,
3/31/2021,21.147,0.681523566,0.832886963,,
4/1/2021,20.73590027,0.648627692,0.81669556,,
4/2/2021,20.32539662,0.615779516,0.800527634,,
4/3/2021,19.914,0.582859886,0.784324537,,
4/4/2021,19.5346352,0.552503417,0.769383033,,
4/5/2021,19.15437745,0.522075494,0.754406359,,
4/6/2021,18.769,0.491237897,0.739228043,,
4/7/2021,18.56727385,0.475095931,0.73128294,,
4/8/2021,18.36042801,0.458544292,0.723136196,,
4/9/2021,18.153,0.441946067,0.714966522,,
4/10/2021,17.96645534,0.427018912,0.707619352,,
4/11/2021,17.77932851,0.412045171,0.700249252,,
4/12/2021,17.595,0.397295351,0.692989366,,
4/13/2021,17.31029131,0.374513188,0.681775948,,
